title,price,address,latitude,longitude,description,room_size,furnished,private_bathroom,individual_or_double,room_position,rooms_available,flat_size,number_of_bathrooms,elevator,pool,terrace,washer_machine,dryer_machine,air_conditioning,heating,internet,tv,storage,flat_condition,pets_allowed,couples_allowed,smoking_allowed,original_file,date
habitación individual en carrer de còrsega 611,550.0,"c/ còrsega núm. 611,                                                                                                                             la sagrada família,                                                                                                                             barcelona capital",41.408566 ,2.1751537,"piso cómodo, ambiente tranquilo, hay una gatita en la casa. acceso con ascensor, tenemos dos balcones con vista a la sagrada familia, tendero en el balcón. cerca de todos los servicios. precio incluye gastos compartidos luz, agua, gas, internet.habitación individual, para entrar el 1 de marzo, disponible solo para 1 una persona, con ventana a la calle, cama individual, mesita de noche, armario cajonera y escritorio.",medium,True,False,True,exterior,4,75.0,1,True,False,False,False,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en avinguda meridiana 499,725.0,"avda. meridiana núm. 499,                                                                                                                             la prosperitat,                                                                                                                             barcelona capital",41.441994 ,2.1857448,"hola! soy una chica que trabaja en el sector automoción. busco compañera de piso. el piso está reformado y amueblado. es un triplex totalmente exterior, con mucha luz. tiene 3 habitaciones pero una de ellas la uso como vestidor. a compartir sólo conmigo y mi perrito paco, que se porta muy muy bien. el único requisito que pido es que la chica sea limpia y ordenada. habitación lista para entrar a vivir el 1 de junio. el precio incluye todos los gastos. netflix, movistar +, amazon prime video. además dispongo de una plaza de parking para coche. el barrio es muy tranquilo. cerca del cc la maquinista y de sant andreu. también cerca del cc heron city. fácil acceso al nus de la trinitat, a las rondas, c33, c58, ap7. metro linea 1 torras i bages y linea 4 via júlia. por favor contacto sólo por whatsapp. muchas gracias! 😊",medium,True,False,False,exterior,3,85.0,1,True,False,False,True,False,False,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del cep 7,800.0,"c/ cep núm. 9,                                                                                                                             el congrés-els indians,                                                                                                                             barcelona capital",41.425137 ,2.1821876,habitación doble con aire acondicionado y televisor en apartamento completamente reformado y exterior. el precio es para una persona. se admiten parejas con un suplemento de 200 eur.el apartamento se encuentra a 1 minuto de la estación de metro de ccongrès y a 5 de la sagrera (metro y renfe).,medium,False,False,True,exterior,3,77.0,1,True,False,False,True,False,True,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de monturiol 1,600.0,"c/ monturiol núm. 1,                                                                                                                                                                      santa coloma de cervelló, barcelona",41.361206 ,2.0265274,"“solo genero femenino”casa situada en la mejor zona de santa coloma de cervelló, en la colonia güell (patrimonio cultural). renfe y ferrocarriles catalanes, a 2’ minutos del bus. a 20’ de belvitge, varios supermercados cerca. zona de aparcamiento. persona tranquila, educada, ordenada, respetuosa y sobre todo cuidadosa con las zonas comunes y la limpieza, que no esta incluida. no se aceptan visitas, ni parejas ni hijos. con cama doble, mesita de noche, armario empotrado doble, escritorio y silla, casa  compartida (baño, cocina, comedor, salón, patios interior y exterior), la ventana de la habitación da a  la calle y balcón,  con mesa y silla, ventana grande eléctrica con mando.gastos incluidos, el ambiente de la casa es tranquilo y armonioso.se piden 3 últimas nóminas, se reserva con 300€ que se quitará de la fianza si te quedas, sino lo pierdes, se hará contrato y seguro de impago.valor no negociable.",medium,True,False,False,exterior,2,95.0,1,False,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en passeig sant gervasi 72,550.0,"pseo sant gervasi núm. 72,                                                                                                                             el putxet-el farró,                                                                                                                             barcelona capital",41.41226 ,2.138215,"alquilo una habitación en la zona alta de barcelona, tibidabo en finca regia decó, con ambientes amplios, buenas vistas y tranquilo, ideal para estudiantes de doctorado o trabajadores. el piso tiene 140 metros que lo compartiremos solo dos personas + una terraza comunitaria con excelentes vistas al mar y al montaña (para tomar sol, leer y puntualmente comer).la zona es especialmente residencial y agradable, al lado del parque i la carretera de las aguas i park guell. con muy buenas conexiones de medio de transporte l7 av. tibidabo, l3 vallcarca, h4, v15, v13 etc, nitbus 4-5 (a 10 min del pl. catalunya).",large,True,False,False,,3,120.0,1,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en la sagrera,400.0,"avda. meridiana núm. 341,                                                                                                                             la sagrera,                                                                                                                             barcelona capital",41.426876 ,2.1849902,"es un piso con iluminación  , la habitación es con ventana interior al patio y cama de dos plazas más un armario empotrado,  somos personas  tranquilos  y trabajamos y algunas veces compartimos,  se valora mucho la limpieza ,orden ,respeto, y  comunicación para que la convivencia sea más ameno .  la ubicación del piso es muy céntrico y accesible a supermercados y tiendas y trasporte co ml o metro l5, l1 , y trenes y autobuses .",medium,False,False,True,exterior,1,100.0,2,False,False,False,False,False,False,False,False,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer de blai 67,480.0,"c/ blai núm. 67,                                                                                                                             el poble-sec,                                                                                                                             barcelona capital",41.374725 ,2.161607,"alquilo 3 habitaciones muy bien acondicionadas (todas con armarios y muebles auxiliares incluido mesa para portátil y silla), para vivir solo una chica por habitación y máximo 3 chicas en el piso. una habitación con cama individual no disponible 400 € mes y 2 habitaciones disponibles con cama  matrimonio una interior 480 € mes y otra exterior 490 € mes. a sumar gastos suministros 55 € mes. piso calle blai, 67 esquina avenida paralel y calle calabria, muy bien amueblado, todo tipo enseres y electrodomésticos. internet fibra 300 megas. edificio frente metro parada poble sec (línea 3, verde) conexiones cercanas al resto de líneas y múltiples líneas autobús. ubicación inmejorable cerca centro barcelona, entre plaza españa y puerto, muy cerca de montaña de montjuic donde hay zonas verdes, museos y lugares turísticos, cerca playas y ambulatorio  seguridad social, rodeado de todo tipo comercios y lugares de ocio. solo se puede fumar en el balcón. consultar fechas y resto condiciones a maría",large,True,False,False,exterior,3,80.0,1,True,False,False,True,False,True,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de santiago rusiñol 45,400.0,"c/ santiago rusiñol núm. 45,                                                                                                                              centre,                                                                                                                             sant cugat del vallès",41.472786 ,2.0837681,"pis amb dues noies estudiants universitàries de girona busquen una altra estudiant universitària. amb habitació individual amb mobles, molt cèntric i connexió fàcil amb la uab i la uic.disposa de calefacció central, cuina completament equipada, i bany complet, terrassa i ampli menjador.",small,True,False,True,,3,75.0,1,False,False,False,True,False,True,False,False,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer d'aragó 606,550.0,"c/ aragon núm. 606,                                                                                                                             el clot,                                                                                                                             barcelona capital",41.4091316 ,2.1879821,"se alquila espacio grande para parejas o personas pensionistas, la habitacion es grande con cama matrimonial y cama individual,balcon espacioso y comedor grande  todo privado., no se aceptan menores de edad ni mascotas.                          ****visitas a partir del  6  mayo  2024*****",large,True,False,False,exterior,3,95.0,1,True,False,False,True,False,False,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de l'abat escarré 40,375.0,"c/ abat escarré núm. 40,                                                                                                                              centre,                                                                                                                             sant boi de llobregat",41.3440917 ,2.0302144,"habitación sólo para una chica/mujer.habitación exterior mediana/pequeña, en casa adosada de 200 m2, con terrado y patio con jardín. la habitación se encuentra en la 1a planta. se pueden utilizar todas las estancias comunes de la casa. actualmente están ocupadas dos habitaciones por una mujer (asistente social) y por un hombre (profesor de secundaria). muy cerca de transporte público, entidades sociales, tiendas, gimnasios y espacios verdes para hacer deporte.no se permite fumar en ninguna estancia de la casa.no se permiten mascotas.",small,True,True,True,exterior,4,200.0,2,False,False,False,True,False,False,False,False,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en carrer d'alfou 4,450.0,"c/ alfou núm. 4,                                                                                                                                                                      dosrius, barcelona",41.61269 ,2.42027,"se alquila habitación doble para una sola persona, en casa unifamiliar, a compartir con una mujer. vivo con gatos. abstenerse personas que no les gusten los animales. casa con jardín y piscina. hay escaleras. en el exterior de la vivienda se puede fumar. gastos incluidos: agua, luz e internet.",medium,True,False,False,exterior,2,100.0,2,False,True,False,True,True,False,False,True,True,True,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del gaià 2,400.0,"c/ gaià núm. 2,                                                                                                                             la marina del port-parc de montjuïc,                                                                                                                             barcelona capital",41.362175 ,2.1410086,habitacion en el barrio de la marina del puerto. búsqueda de plaza españa y junto a la montaña de montjuïc y con buena comunicación de transporte público.apartamento con mucha luz natural en todas las habitaciones y una terraza común con vistas al exterior.,medium,True,False,True,exterior,3,65.0,1,False,False,False,True,False,False,False,True,False,True,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en avinguda meridiana 294,450.0,"avda. meridiana núm. 294,                                                                                                                             la sagrera,                                                                                                                             barcelona capital",41.422226 ,2.187218,"preciosa habitación luz natural.al lado de todos los servicios y metro l1, l5, l9, l10, renfe.piso muy tranquilo",large,True,False,True,exterior,3,105.0,2,True,False,False,True,False,False,False,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del prat de la manta 11,420.0,"c/ prat de la manta núm. 11,                                                                                                                              santa eulàlia,                                                                                                                             l'hospitalet de llobregat",41.361694 ,2.126456,alquilo habitacion mediana amoblada para chica sola  responsable y ordenada. 5 min de gran via 2 metro u autobuses cerca .a 15 min del aeropuerto mas info a mi contacto vivo sola con mo hija mayor buen ambiente y convivencia,medium,True,False,True,exterior,3,100.0,1,False,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en plaça del centre 12,650.0,"pza. centre núm. 12,                                                                                                                             sants,                                                                                                                             barcelona capital",41.38171 ,2.1362836,"habitación + sala de estar/estudio totalmente privadas para el inquilino. estancia: mayo, junio y julio. (3 meses max. )piso muy luminoso, rodeado de comercio, céntrico y a 20 metros del metro plaza del centre (l3). la habitación cuenta con cama doble, zona de escritorio, sofá, mesita y armario. el apartamento cuenta con cocina completamente equipada y un baño compartido solo con 1 persona.condiciones:• un mes de fianza• tarifa plana mensual de electricidad, agua, calefacción, internet de alta velocidad· no fumador/a· no se admiten mascotas· no incluye limpieza· se exige persona limpia, tranquila y silenciosa.• consultar estancia mínima• de documentación únicamente solicitamos dni o pasaporte.condiciones:•un mes de fianza•admin fee & member live it club: 150€ (pago único)•tarifa plana mensual de electricidad, agua, calefacción, internet de alta velocidad•consultar estancia mínima•de documentación únicamente solicitamos dni o pasaporte.*(no se inlcuye ni el ordenad",large,True,False,False,exterior,4,65.0,1,True,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de l'om 11,400.0,"c/ sebastià garriga núm. 7,                                                                                                                              serraparrera,                                                                                                                             cerdanyola del vallès",41.4897112 ,2.1313846,"habitación en cerdanyola, a 20 min de la universidad, bus a 200m y rodalies a 20 min.cerca del centro ( día, charter,ayuntamiento, cap... )compartiríamos gastos de : agua, luz, gas, wifi y prod. limpieza comunes",small,True,False,True,exterior,3,60.0,1,True,False,False,True,False,False,False,True,True,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en sant miquel-tres torres,425.0,"c/ bartolomé esteban murillo núm. 71,                                                                                                                              sant miquel-tres torres,                                                                                                                             granollers",41.602203 ,2.2909915,"tenemos disponible una habitación para alquilar, ideal para una mujer. está estrictamente prohibido fumar dentro del inmueble, así como la presencia de mascotas y menores de edad.los gastos asociados al uso y mantenimiento común no están incluidos en el precio del alquiler y serán repartidos proporcionalmente entre los inquilinos en función de su número actual.la habitación, amplia y repleta de luz natural, cuenta con aproximadamente 13 m² y se ubica a tan solo dos minutos de la estación de trenes. próximamente, una vez finalizados los trabajos de pintura, la habitación estará equipada con los siguientes muebles:un armario de gran capacidad.una cama doble.un colchón doble.dos mesitas de noche.se requiere una inquilina trabajadora, que posiblemente combine su actividad laboral con estudios. es imprescindible contar con un contrato de trabajo vigente o disponer de un avalista.el precio de alquiler incluido en este anuncio abarca no solo el uso de la habitación, sino también varios servicios adicionales como el alquiler de muebles, un seguro de habitabilidad, servicios de mediación para la resolución de conflictos entre inquilinos y la posibilidad de adelantar el pago de los suministros, que será regularizado el mes siguiente, entre otros.precio de referencia: 10.03 - 13.51€/m².información adicional: este inmueble se arrienda por primera vez.el propietario del inmueble no se considera un gran tenedor (posee menos de cinco propiedades).",medium,False,False,True,exterior,1,80.0,1,False,False,False,False,False,False,False,False,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en ctra. de santpedor-bases de manresa,380.0,"avda. avinguda de les bases de manresa núm. 160,                                                                                                                              ctra. de santpedor-bases de manresa,                                                                                                                             manresa",41.735677975558 ,1.8340224074094,"disponibilidad a partir del 1 de mayo, servicio de limpieza (zonas comunes) y wifi incluido. suministros a dividir con el resto de inquilinos.",medium,False,False,True,exterior,1,114.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de margarit 27,370.0,"c/ margarit núm. 27,                                                                                                                             el poble-sec,                                                                                                                             barcelona capital",41.37338 ,2.1635385,"se alquila habitación cerca de plaza españa y muy cerca de la montaña de montjuic y del corazón de barcelona a pie o en transporte a 50 metros del apartamento. hay supermercados a pocos metros.  en la calle margarit y carrer blai, que son famosos por sus bares de tapas. puedes ir caminando a la rambla en 7 minutos y port vell está a 5 minutos. a 10 minutos a pie se puede llegar a plaza españa y a todas las atracciones más famosas de barcelona.estamos alquilando una habitacion individual con las comodidades necesarias  un minimo de 3 meses pero lo ideal es para un estancia larga para una chica estudiante o trabajadora,  cuesta 370 euros todo incluido, cualquier pregunta comunicarse con camila  34 611 65 41 40gracias",small,True,False,True,exterior,1,67.0,1,True,False,False,True,False,False,False,True,False,False,new,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer de les salenques 19,380.0,"c/ salenques núm. 19,                                                                                                                              ca n'oriac,                                                                                                                             sabadell",41.566685 ,2.087586,"solo para 1 chicadisponible para entrar ya! habitación para 1 chica estudiante o con trabajo y no fumadora. imprescindible dni o niese pide 1 mes de fianza se hace contrato  (no chicos no parejas)habitación individual con armario de dos puertas correderas, pequeño escritorio, mesita de noche y cama individual, la habitación dispone de televisión con amazon prime video, netflix,  disney plus y ventilador de techo.bonito piso reformado con suelo de parquet, baño con ducha, cocina equipada y galería con lavadora y zona para tener la ropa, piso luminoso.bien ubicado junto avenida matadepera parada de autobús, zona comercial con tiendas de todo tipo a pocos metros, estación de ferrocarril a 7 minutos caminando y renfe 15 minutos a pie.internet fibra óptica de 10 gigas simétricos y wifi 6.hacemos contrato mínimo de 6 meses y puedes empadronarte si lo necesitas.habitación con gastos incluidos en el precio luz agua gas y wifi.",small,True,False,True,exterior,3,90.0,1,False,False,False,True,False,False,False,True,True,True,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación individual en carrer del segre 92,350.0,"c/ segre núm. 92,                                                                                                                             sant andreu,                                                                                                                             barcelona capital",41.43094 ,2.1945753,"se alquila habitacion individual amueblada para una chica que trabaje y/o estudie. se requerira documentacion que lo acredite. en el precio se incluyen los suminstros siempre que no sobrepase el coste calculado. fianza de 1 mes y medio.se busca persona tranquila y respetuosa ya que se trata de una vivienda que se respira calma. el piso esta compuesto por cocina abierta con barra, baño, galeria, 4 habitaciones y no hay salon, de esta manera se crea una estancia mas tranquila. para la visita traer documentación laboral o de estudiante, o bien enviarla antes. reserva de 120e.",small,True,False,True,exterior,4,55.0,1,True,False,False,True,False,False,False,True,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en can mas,340.0,"rbla sant jordi núm. 50,                                                                                                                              can mas,                                                                                                                             ripollet",41.497066 ,2.1607356,"solo chicas,habitación atico con todo incluido, más terraza de 60 metros .",medium,False,False,True,exterior,1,80.0,1,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en sant climent de llobregat,350.0,"cra. viladecans a sant climent de llobregat núm. 1,                                                                                                                                                                      sant climent de llobregat, barcelona",41.33081 ,2.0061357,??????hola buenas estoy rentando una habitacion para personas responsables y trabajadoras y respetuosas limpias y ordenada preferiblemente que sea solo para chica y mujere  madre con hija y hija con madre y con niños también ??????no hombre por favor muchas gracias viladecans. si. eso mi whatsapp 612 483 952  llamar también ???????????,medium,False,False,True,exterior,1,200.0,1,False,False,False,False,False,False,False,False,False,False,new,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en vacarisses,400.0,"c/ alzina del boixadell núm. 55,                                                                                                                                                                      vacarisses, barcelona",41.587738 ,1.9241105,"habitacion en alquiler en chalet con jardín ,piscina ,vistas…a 5 minutos de transporte público,buena ubicación cerca de terrassa ,gastos incluidos",medium,False,False,True,exterior,1,150.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en vallpineda-rocamar,695.0,"c/ mercè amell núm. 5,                                                                                                                              vallpineda-rocamar,                                                                                                                             sant pere de ribes",41.246075 ,1.7911419,"una amplia habitación con vistas a la montaña, separada de la casa, con baño propio y amplia terraza de uso exclusivo. además de una nevera y cocina de gas también de uso exclusivo.",medium,False,False,True,exterior,1,120.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación doble en piso compartido con gastos incluidos,600.0,"c/ junta comerç núm. 13,                                                                                                                             el raval,                                                                                                                             barcelona capital",41.3799636 ,2.1714995,"habitación doble con dos camas individuales de 90x200m, escritorio, armario. ventana exterior.",medium,True,False,False,exterior,8,200.0,4,False,False,False,True,True,False,True,True,True,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en bonavista-bufalà,600.0,"c/ doctor robert núm. 226,                                                                                                                              bonavista-bufalà,                                                                                                                             badalona",41.46345 ,2.2404253,"estudio con entrada independiente ideal para un estudiante a 5 minutos del hospital de can ruti en muy buena zona , equipado de todo (es para una persona) con gatos incluidos más información por privado",medium,False,False,True,exterior,1,25.0,1,False,False,False,False,False,False,False,False,False,False,new,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en olesa de montserrat,400.0,"olesa de montserrat, barcelona",41.54459353 ,1.895714016,"altura piso 1º, habitación en piso superficie total 200 m², habitaciones dobles: 6, 1 baño, 1 aseo, aire acondicionado (ventilador techo), calefacción (central), cocina, estado conservación: buen estado, amueblada, número de inquilinos: 1, , exterior, se aceptan mascotas, .",medium,False,False,True,exterior,1,200.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en matadepera,460.0,"c/ mas salles núm. 22,                                                                                                                                                                      matadepera, barcelona",41.61669 ,1.9988234,"se alquila habitacion doble de 15 mts con baño privado en matadeperareformado, armario vestidor muy grande,con vistas a la montaña y mucha luz.la casa tiene jardín. gastos incluidos. se necesita coche. a 10 min de terrassa y sabadell. hay una parada de autobus a dos minutos de la casa para ir a terrassa. no se aceptan, parejas, familias ni perros. gato si, para venir a verla podeis llamar sin dudarlo 630196530/buen ambiente, amantes de la música y de la naturaleza son bienvenidos,",medium,False,False,True,exterior,1,150.0,4,False,False,False,False,False,False,False,False,False,False,refurbished,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en gràcia,400.0,"gràcia,                                                                                                                             sabadell",41.5359884 ,2.1069908,"habitación en residencia de estudiantes con terraza, en espectacular casa con gran jardín, gran comedor-salón, wifi, calefaccion y aire acondicionado, barios baños completos uno de ellos con gran ducha, gran cocina con sala de estar.",medium,False,False,True,exterior,1,100.0,0,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en montmeló,340.0,"pge. montserrat roig núm. 1,                                                                                                                                                                      montmeló, barcelona",41.55222 ,2.2466507,"se alquila habitación individual  a chica estudiante, con derecho a cocina. se compartiría con familia de 3 miembros y un perro muy cariñoso (bicho maltes), tranquilo y respetuoso. la habitación da a un balcón soleado; tiene mucha luz durante todo el día; sin ruidos. dispone de calefacción central a gas.el ambiente en el piso es tranquilo y familiar, y está aproximadamente a 350 m de la estación de tren de renfe (líneas r2 y r8). se tarda 25 minutos  en llegar a la estación paseo de gracia y unos 18 minutos a la estación de la uab (cerdanyola). el bloque tiene altura de 2 pisos.buscamos una estudiante responsable,  respetuosa, sociable y no fumadora. el precio de la habitación es de 340€, más los gastos de agua, electricidad y gas que son a compartir.",medium,False,False,True,exterior,1,115.0,2,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
habitación en alquiler en mira-sol,530.0,"c/ soria núm. 92,                                                                                                                              mira-sol,                                                                                                                             sant cugat del vallès",41.4661434 ,2.0543232,"alquilo habitación de 7m2 exterior, amueblada, en una casa con jardín. a 7´ a pie de los fgc. gastos incluidos salvo electricidad. estancia mínima de 3 meses. cerca hgc, uic, bus a esade, bus al centro sant cugat, europa international school, fácil aparcamiento en la misma calle. centro comercial y mercadona a 5´ andando. gastos electricidad aparte.aportar contrato de trabajo, nómina, dni, pasaporte, nie",medium,False,False,True,exterior,1,120.0,3,False,False,False,False,False,False,False,False,False,False,good,,,False,pisocompartido_20240505_raw.json,2024-05-05
